,Unnamed: 0,Day,Hour,Minutes,Weather,Temperature (C),Supply Pump 1 Run Sts,Supply Pump 1 Speed (%),Supply Pump 1 Flow Rate (l/s),Supply Pump 1 Power (KW),Supply Pump 2 Run Sts,Supply Pump 2 Speed (%),Supply Pump 2 Flow Rate (l/s),Supply Pump 2 Power (KW),Discharge Pump Run Sts,Discharge Pump Speed (%),Discharge Pump Flow Rate (l/s),Discharge Pump Power (KWh),Tank Level (Kl),Current Power Usage (KWh),Daily Power Usage (KW),Current Solar Generation (KWh),Daily Solar Generation (KW),Daily Power From Grid (KW),Current Power From Grid (KWh),Battery Power Failed To Charge (KWh),Battery Power Stored (KWh)
0,0,0,0,15,Sunny,16.5,True,100,5.199999809,45,True,100,1.75,15,False,40,1.839999962,16.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1,0,0,30,Sunny,15.95000076,True,100,5.199999809,45,False,100,0.0,15,True,40,1.840000033,16.0,4.5989998623,61,15.0,0.0,0.0,15.0,61.0,0.0,0
2,2,0,0,45,Sunny,15.95000076,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,7.622999660700001,16,34.0,0.0,0.0,34.0,16.0,0.0,0
3,3,0,1,0,Sunny,15.40000057,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,5.966999631,16,53.0,0.0,0.0,53.0,16.0,0.0,0
4,4,0,1,15,Sunny,15.40000057,True,100,5.199999809,45,False,100,0.0,15,True,40,1.840000033,16.0,4.310999601300001,61,72.0,0.0,0.0,72.0,61.0,0.0,0
5,5,0,1,30,Sunny,14.85000038,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,7.334999399700001,16,91.0,0.0,0.0,91.0,16.0,0.0,0
6,6,0,1,45,Sunny,14.85000038,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,5.678999370000001,61,110.0,0.0,0.0,110.0,61.0,0.0,0
7,7,0,2,0,Sunny,14.30000019,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,8.702999168400002,16,114.0,0.0,0.0,114.0,16.0,0.0,0
8,8,0,2,15,Sunny,14.30000019,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,7.046999138700002,16,118.0,0.0,0.0,118.0,16.0,0.0,0
9,9,0,2,30,Sunny,13.75,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,5.390999109000003,61,122.0,0.0,0.0,122.0,61.0,0.0,0
10,10,0,2,45,Sunny,13.75,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,8.414998907400003,16,126.0,0.0,0.0,126.0,16.0,0.0,0
11,11,0,3,0,Sunny,13.20000076,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,6.758998877700003,16,130.0,0.0,0.0,130.0,16.0,0.0,0
12,12,0,3,15,Sunny,13.20000076,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,5.102998848000004,61,134.0,0.0,0.0,134.0,61.0,0.0,0
13,13,0,3,30,Sunny,12.65000057,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,8.126998646400004,16,138.0,0.0,0.0,138.0,16.0,0.0,0
14,14,0,3,45,Sunny,12.65000057,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,6.470998616700005,16,142.0,0.0,0.0,142.0,16.0,0.0,0
15,15,0,4,0,Sunny,12.10000038,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,4.814998587000005,61,146.0,0.0,0.0,146.0,61.0,0.0,0
16,16,0,4,15,Sunny,12.10000038,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,7.838998385400005,16,150.0,0.0,0.0,150.0,16.0,0.0,0
17,17,0,4,30,Sunny,11.55000019,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,6.182998355700006,16,154.0,0.0,0.0,154.0,16.0,0.0,0
