,Unnamed: 0,Day,Hour,Minutes,Weather,Temperature (C),Supply Pump 1 Run Sts,Supply Pump 1 Speed (%),Supply Pump 1 Flow Rate (l/s),Supply Pump 1 Power (KW),Supply Pump 2 Run Sts,Supply Pump 2 Speed (%),Supply Pump 2 Flow Rate (l/s),Supply Pump 2 Power (KW),Discharge Pump Run Sts,Discharge Pump Speed (%),Discharge Pump Flow Rate (l/s),Discharge Pump Power (KWh),Tank Level (Kl),Current Power Usage (KWh),Daily Power Usage (KW),Current Solar Generation (KWh),Daily Solar Generation (KW),Daily Power From Grid (KW),Battery Power Stored (KWh),Current Power From Grid (KWh),Battery Power Failed To Charge (KWh)
0,0,0,0,15,Sunny,16.5,True,100,5.199999809,45,True,100,1.75,15,False,40,1.839999962,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,30,Sunny,15.95000076,True,100,5.199999809,45,False,100,0.0,15,True,40,1.840000033,16.0,4.5989998623,61.0,15.0,0.0,0.0,15.0,0.0,61.0,0.0
2,2,0,0,45,Sunny,15.95000076,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,7.622999660700001,16.0,34.0,0.0,0.0,34.0,0.0,16.0,0.0
3,3,0,1,0,Sunny,15.40000057,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,5.966999631,16.0,53.0,0.0,0.0,53.0,0.0,16.0,0.0
4,4,0,1,15,Sunny,15.40000057,True,100,5.199999809,45,False,100,0.0,15,True,40,1.840000033,16.0,4.310999601300001,61.0,72.0,0.0,0.0,72.0,0.0,61.0,0.0
5,5,0,1,30,Sunny,14.85000038,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,7.334999399700001,16.0,91.0,0.0,0.0,91.0,0.0,16.0,0.0
6,6,0,1,45,Sunny,14.85000038,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,5.678999370000001,61.0,110.0,0.0,0.0,110.0,0.0,61.0,0.0
7,7,0,2,0,Sunny,14.30000019,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,8.702999168400002,16.0,114.0,0.0,0.0,114.0,0.0,16.0,0.0
8,8,0,2,15,Sunny,14.30000019,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,7.046999138700002,16.0,118.0,0.0,0.0,118.0,0.0,16.0,0.0
9,9,0,2,30,Sunny,13.75,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,5.390999109000003,61.0,122.0,0.0,0.0,122.0,0.0,61.0,0.0
