,Day,Hour,Minutes,Weather,Temperature (C),Supply Pump 1 Run Sts,Supply Pump 1 Speed (%),Supply Pump 1 Flow Rate (l/s),Supply Pump 1 Power (KW),Supply Pump 2 Run Sts,Supply Pump 2 Speed (%),Supply Pump 2 Flow Rate (l/s),Supply Pump 2 Power (KW),Discharge Pump Run Sts,Discharge Pump Speed (%),Discharge Pump Flow Rate (l/s),Discharge Pump Power (KWh),Tank Level (Kl),Current Power Usage (KWh),Daily Power Usage (KW),Current Solar Generation (KWh),Daily Solar Generation (KW),Daily Power From Grid (KW)
0,0,0,15,Sunny,16.5,TRUE,100,5.199999809,45,TRUE,100,1.75,15,FALSE,40,0,0,0,0,0,0,0,0
1,0,0,30,Sunny,15.95000076,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,40,1.840000033,16,6.254999638,60,15,0,0,15
2,0,0,45,Sunny,15.95000076,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,40,1.840000033,16,10.85399914,76,34,0,0,34
3,0,1,0,Sunny,15.40000057,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,40,1.840000033,16,15.45299911,76,53,0,0,53
4,0,1,15,Sunny,15.40000057,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,40,1.840000033,16,20.05200005,76,72,0,0,72
5,0,1,30,Sunny,14.85000038,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,40,1.840000033,16,24.65100098,76,91,0,0,91
6,0,1,45,Sunny,14.85000038,FALSE,100,0,0,FALSE,100,0,0,TRUE,40,1.840000033,16,29.25000191,76,110,0,0,110
7,0,2,0,Sunny,14.30000019,FALSE,100,0,0,FALSE,100,0,0,TRUE,40,1.840000033,16,27.59400177,16,114,0,0,114
8,0,2,15,Sunny,14.30000019,FALSE,100,0,0,FALSE,100,0,0,TRUE,40,1.840000033,16,25.93800163,16,118,0,0,118
9,0,2,30,Sunny,13.75,FALSE,100,0,0,FALSE,100,0,0,TRUE,40,1.840000033,16,24.2820015,16,122,0,0,122
10,0,2,45,Sunny,13.75,FALSE,100,0,0,FALSE,100,0,0,TRUE,40,1.840000033,16,22.62600136,16,126,0,0,126
11,0,3,0,Sunny,13.20000076,FALSE,100,0,0,FALSE,100,0,0,TRUE,40,1.840000033,16,20.97000122,16,130,0,0,130
12,0,3,15,Sunny,13.20000076,FALSE,100,0,0,FALSE,100,0,0,TRUE,40,1.840000033,16,19.31400108,16,134,0,0,134
13,0,3,30,Sunny,12.65000057,FALSE,100,0,0,FALSE,100,0,0,TRUE,40,1.840000033,16,17.65800095,16,138,0,0,138
14,0,3,45,Sunny,12.65000057,FALSE,100,0,0,FALSE,100,0,0,TRUE,40,1.840000033,16,16.00200081,16,142,0,0,142
15,0,4,0,Sunny,12.10000038,FALSE,100,0,0,FALSE,100,0,0,TRUE,40,1.840000033,16,14.34600067,16,146,0,0,146
16,0,4,15,Sunny,12.10000038,FALSE,100,0,0,FALSE,100,0,0,TRUE,40,1.840000033,16,12.69000053,16,150,0,0,150
17,0,4,30,Sunny,11.55000019,FALSE,100,0,0,FALSE,100,0,0,TRUE,40,1.840000033,16,11.0340004,16,154,0,0,154
18,0,4,45,Sunny,11.55000019,FALSE,100,0,0,FALSE,100,0,0,TRUE,40,1.840000033,16,9.378000259,16,158,0,0,158
19,0,5,0,Sunny,11,FALSE,100,0,0,FALSE,100,0,0,TRUE,40,1.840000033,16,7.722000122,16,162,0,0,162
20,0,5,15,Sunny,11,FALSE,100,0,0,FALSE,100,0,0,TRUE,40,1.840000033,16,6.065999985,16,166,0,0,166
21,0,5,30,Sunny,10.44999981,FALSE,100,0,0,FALSE,100,0,0,TRUE,40,1.840000033,16,4.409999847,16,170,0,0,170
22,0,5,45,Sunny,11,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,40,1.840000033,16,2.75399971,16,174,0,0,174
23,0,6,0,Sunny,12.10000038,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,40,1.840000033,16,7.352999687,76,193,0,0,193
24,0,6,15,Sunny,13.20000076,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,40,1.840000033,16,11.95199871,76,212,5.199999809,1.299999952,210.6999969
25,0,6,30,Sunny,14.30000019,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,40,1.840000033,16,16.55099869,76,231,10.39999962,3.899999857,227.0999908
26,0,6,45,Sunny,15.40000057,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,40,1.840000033,16,21.14999962,76,250,15.59999943,7.799999714,242.1999969
27,0,7,0,Sunny,15.95000076,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,40,1.840000033,16,25.74900055,76,269,20.79999924,13,256
28,0,7,15,Sunny,16.5,FALSE,100,0,0,FALSE,100,0,0,TRUE,45,2.069999933,18,30.34800148,76,288,26,19.5,268.5
29,0,7,30,Sunny,17.05000114,FALSE,100,0,0,FALSE,100,0,0,TRUE,50,2.299999952,20,28.48500061,18,292.5,31.19999886,27.29999924,265.2000122
30,0,7,45,Sunny,17.60000038,FALSE,100,0,0,FALSE,100,0,0,TRUE,55,2.529999971,22,26.41500092,20,297.5,36.39999771,36.39999771,261.1000061
31,0,8,0,Sunny,18.14999962,FALSE,100,0,0,FALSE,100,0,0,TRUE,65,2.989999771,26,24.13800049,22,303,41.59999847,46.79999542,256.2000122
32,0,8,15,Sunny,18.70000076,FALSE,100,0,0,FALSE,100,0,0,TRUE,70,3.21999979,28,21.4470005,26,309.5,46.79999924,58.49999619,251.0000153
33,0,8,30,Sunny,19.25,FALSE,100,0,0,FALSE,100,0,0,TRUE,75,3.449999809,30,18.54899979,28,316.5,49.39999771,70.84999847,245.6499939
34,0,8,45,Sunny,19.80000114,FALSE,100,0,0,FALSE,100,0,0,TRUE,80,3.680000067,32,15.44400024,30,324,52,83.84999847,240.1499939
35,0,9,0,Sunny,20.35000038,FALSE,100,0,0,FALSE,100,0,0,TRUE,90,4.139999866,36,12.13199997,32,332,54.59999847,97.5,234.5
36,0,9,15,Sunny,20.89999962,FALSE,100,0,0,FALSE,100,0,0,TRUE,95,4.369999886,38,8.406000137,36,341,57.19999695,111.8000031,229.1999969
37,0,9,30,Sunny,21.45000076,FALSE,100,0,0,FALSE,100,0,0,TRUE,100,4.599999905,40,4.473000526,38,350.5,59.79999924,126.75,223.75
38,0,9,45,Sunny,22,TRUE,100,5.199999809,45,TRUE,100,1.75,15,FALSE,100,0,0,0.33300066,40,360.5,62.39999771,142.3500061,218.1499939
39,0,10,0,Sunny,22.55000114,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,100,4.599999905,40,6.588000298,60,375.5,65,158.6000061,216.8999939
40,0,10,15,Sunny,23.10000038,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,100,4.599999905,40,8.702999115,100,400.5,67.59999847,175.5,225
41,0,10,30,Sunny,23.64999962,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,100,4.599999905,40,10.81799889,100,425.5,70.19999695,193.0500031,232.4499969
42,0,10,45,Sunny,24.20000076,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,100,4.599999905,40,12.93300056,100,450.5,72.79999542,211.25,239.2500153
43,0,11,0,Sunny,24.75,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,100,4.599999905,40,15.04800224,100,475.5,72.79999542,229.4499969,246.0500031
44,0,11,15,Sunny,25.30000114,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,100,4.599999905,40,17.16300392,100,500.5,72.79999542,247.6499939,252.8499908
45,0,11,30,Sunny,25.85000038,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,100,4.599999905,40,19.2780056,100,525.5,72.79999542,265.8500061,259.6499634
46,0,11,45,Sunny,26.40000153,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,100,4.599999905,40,21.39300728,100,550.5,72.79999542,284.0500183,266.4499512
47,0,12,0,Sunny,26.95000076,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,95,4.369999886,38,23.50800896,100,575.5,72.79999542,302.2500305,273.249939
48,0,12,15,Sunny,27.5,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,90,4.139999866,36,25.83000946,98,600,72.79999542,320.4500427,279.5499268
49,0,12,30,Sunny,28.05000114,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,85,3.910000086,34,28.3590107,96,624,72.79999542,338.6500549,285.3499146
50,0,12,45,Sunny,28.60000038,FALSE,100,0,0,FALSE,100,0,0,TRUE,80,3.680000067,32,31.09500885,94,647.5,72.79999542,356.8500671,290.6499023
51,0,13,0,Sunny,29.15000153,FALSE,100,0,0,FALSE,100,0,0,TRUE,80,3.680000067,32,27.78300858,32,655.5,72.79999542,375.0500793,280.4498901
52,0,13,15,Sunny,29.70000076,FALSE,100,0,0,FALSE,100,0,0,TRUE,85,3.910000086,34,24.4710083,32,663.5,72.79999542,393.2500916,270.2498779
53,0,13,30,Sunny,30.25,FALSE,100,0,0,FALSE,100,0,0,TRUE,90,4.139999866,36,20.95200729,34,672,72.79999542,411.4501038,260.5498657
54,0,13,45,Sunny,30.80000114,FALSE,100,0,0,FALSE,100,0,0,TRUE,95,4.369999886,38,17.22600746,36,681,72.79999542,429.650116,251.3498688
55,0,14,0,Sunny,30.80000114,FALSE,100,0,0,FALSE,100,0,0,TRUE,100,4.599999905,40,13.29300785,38,690.5,72.79999542,447.8501282,242.6498566
56,0,14,15,Sunny,30.80000114,FALSE,100,0,0,FALSE,100,0,0,TRUE,100,4.599999905,40,9.153007507,40,700.5,72.79999542,466.0501404,234.4498596
57,0,14,30,Sunny,30.80000114,FALSE,100,0,0,FALSE,100,0,0,TRUE,100,4.599999905,40,5.013007641,40,710.5,72.79999542,484.2501526,226.2498627
58,0,14,45,Sunny,30.25,TRUE,100,5.199999809,45,TRUE,100,1.75,15,FALSE,100,0,0,0.873007774,40,720.5,70.19999695,501.8001404,218.6998596
59,0,15,0,Sunny,30.25,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,100,4.599999905,40,7.128007412,60,735.5,67.59999847,518.7001343,216.7998657
60,0,15,15,Sunny,29.70000076,TRUE,100,5.199999809,45,TRUE,100,1.75,15,TRUE,100,4.599999905,40,9.24300766,100,760.5,65,534.9501343,225.5498657
